STT,District,District Code - Old MDR map,District Code - Updated MDR map,January,,,,,,,,February,,,,,,,,March,,,,,,,,April,,,,,,,,May,,,,,,,,June,,,,,,,,July,,,,,,,,August,,,,,,,,September,,,,,,,,October,,,,,,,,November,,,,,,,,December,,,,,,,,Check,,,,,,,,,,,,,,,,,,,,,,,
,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,cases,,,,death,,,,Mắc,,,,Chết,,,,,,,,,,,,,,,,,,,
,,,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,DHF,,Severe DHF,,Độ I & II,,Sốc (Độ III & IV),,Độ I & II,,Sốc (Độ III & IV),,,,,,,,,,,,,,,,,
,,,,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,Total ,<15 yr-old,TS,<15t,TS,<15t,TS,<15t,TS,<15t,,,,,,,,,,,,,,,,
6,Tân Hiệp,58,78,4,0,10,6,5,4,0,0,0,0,0,0,0,0,5,4,3,1,0,0,0,0,0,0,0,0,5,5,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,0,0,1,0,10,8,4,4,0,0,0,0,0,0,5,4,46,39,10,8,0,0,0,0,0,0,0,0,26,21,3,3,0,0,0,0,0,0,3,3,19,15,6,4,0,0,0,0,0,0,5,5,35,30,5,5,0,0,0,0,0,0,0,0,29,24,11,9,0,0,0,0,0,0
7,Giồng Riềng,60,69,0,0,8,5,9,8,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,1,1,8,4,7,7,0,0,0,0,0,0,0,0,33,30,11,9,0,0,0,0,1,0,0,0,68,53,19,18,0,0,0,0,0,0,0,0,42,29,11,11,0,0,0,0,0,0,0,0,45,35,16,16,0,0,0,0,0,0,0,0,43,37,11,11,0,0,0,0,0,0
8,Gò Quao,61,71,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,16,16,33,33,5,5,0,0,0,0,0,0,18,18,43,43,27,27,0,0,0,0,1,1,0,0,33,29,7,6,0,0,0,0,0,0,0,0,28,27,6,6,0,0,0,0,0,0,0,0,10,10,4,4,0,0,0,0,0,0,0,0,9,9,6,6,0,0,0,0,0,0
9,An Biên,116,66,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,35,32,9,9,0,0,0,0,0,0,0,0,77,76,16,14,0,0,0,0,0,0,0,0,65,59,19,16,0,0,0,0,0,0,0,0,37,37,7,5,0,0,0,0,0,0,0,0,27,26,5,4,0,0,0,0,0,0,0,0,14,14,5,5,0,0,0,0,0,0
10,An Minh,117,67,0,0,5,4,0,0,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,11,8,1,1,0,0,0,0,0,0,1,1,3,3,0,0,0,0,0,0,0,0,0,0,9,8,2,1,0,0,0,0,0,0,0,0,69,53,9,7,0,0,0,0,0,0,0,0,91,80,10,8,0,0,0,0,0,0,0,0,49,41,4,4,0,0,0,0,0,0,0,0,36,30,5,5,0,0,0,0,0,0,0,0,15,14,1,1,0,0,0,0,0,0
11,Vĩnh Thuận,118,80,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,2,1,3,3,0,0,0,0,0,0,0,0,1,1,16,16,2,2,0,0,0,0,0,0,0,0,22,18,0,0,0,0,0,0,0,0,0,0,44,28,2,1,0,0,0,0,0,0,0,0,19,18,2,2,0,0,0,0,0,0,0,0,28,28,4,4,0,0,0,0,0,0,0,0,26,23,2,2,0,0,0,0,0,0
12,Phú Quốc,62,76,0,0,5,3,2,2,0,0,0,0,0,0,0,0,15,14,4,3,0,0,0,0,0,0,0,0,37,30,14,12,0,0,0,0,0,0,0,0,86,69,22,20,0,0,0,0,0,0,0,0,103,85,31,31,0,0,0,0,1,1,0,0,494,409,56,52,0,0,0,0,2,2,0,0,216,172,33,31,0,0,0,0,0,0,0,0,63,47,18,13,0,0,0,0,0,0,0,0,11,9,3,3,0,0,0,0,0,0,0,0,18,13,6,6,0,0,0,0,0,0
13,Kiên Hải,63,74,0,0,4,4,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,1,1,30,28,5,5,0,0,0,0,0,0,0,0,41,36,5,5,0,0,0,0,0,0,0,0,67,67,8,8,0,0,0,0,0,0,0,0,79,74,9,9,0,0,0,0,0,0,0,0,27,27,8,8,0,0,0,0,0,0,0,0,27,26,13,13,0,0,0,0,0,0,0,0,20,19,4,4,0,0,0,0,0,0
14,Tổng cộng,,,27,23,81,63,34,30,0,0,0,0,0,0,15,11,47,38,16,13,0,0,0,0,0,0,10,10,111,98,30,27,0,0,0,0,1,1,30,26,222,179,62,57,0,0,0,0,0,0,32,30,450,412,125,121,0,0,0,0,1,1,61,54,1176,1025,221,207,0,0,0,0,4,3,16,16,855,660,164,142,0,0,0,0,0,0,9,9,485,414,113,103,0,0,0,0,0,0,13,11,396,346,115,110,0,0,0,0,0,0,5,5,297,267,92,90,0,0,0,0,2,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Rạch Giá,55,77,7,7,30,30,6,6,0,0,0,0,0,0,3,3,9,9,6,6,0,0,0,0,0,0,0,0,17,17,5,5,0,0,0,0,0,0,6,6,16,16,5,5,0,0,0,0,0,0,5,5,18,17,1,1,0,0,0,0,0,0,18,18,22,22,6,6,0,0,0,0,0,0,47,47,41,41,10,10,0,0,0,0,0,0,17,17,30,30,9,9,0,0,0,0,0,0,9,9,36,36,7,7,0,0,0,0,0,0,14,14,39,39,17,17,0,0,0,0,0,0
2,Hà Tiên,56,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,5,5,1,1,0,0,0,0,0,0,0,0,6,6,1,1,0,0,0,0,0,0,0,0,15,15,5,5,0,0,0,0,0,0,0,0,17,16,3,3,0,0,0,0,0,0,0,0,24,20,3,3,0,0,0,0,0,0,0,0,17,15,0,0,0,0,0,0,0,0
3,Kiên Lương,120,75,0,0,15,9,1,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,9,7,0,0,0,0,0,0,0,0,0,0,10,8,0,0,0,0,0,0,0,0,0,0,29,27,2,2,0,0,0,0,0,0,0,0,36,25,1,1,0,0,0,0,0,0,0,0,32,26,2,2,0,0,0,0,0,0,0,0,19,16,7,6,0,0,0,0,0,0,0,0,10,7,7,5,0,0,0,0,0,0
4,Hòn Đất,57,73,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,9,9,0,0,0,0,0,0,0,0,1,1,4,4,0,0,0,0,0,0,0,0,0,0,15,15,2,2,0,0,0,0,0,0,0,0,14,14,5,5,0,0,0,0,0,0,0,0,11,11,5,5,0,0,0,0,0,0,0,0,11,11,4,4,0,0,0,0,0,0,0,0,26,25,11,10,0,0,0,0,0,0
5,Châu Thành,59,68,0,0,9,9,3,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,6,6,2,2,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9,9,4,4,0,0,0,0,0,0,0,0,21,20,6,6,0,0,0,0,0,0,0,0,27,27,6,6,0,0,0,0,0,0,1,1,19,19,2,2,0,0,0,0,0,0,0,0,14,14,4,4,0,0,0,0,0,0,0,0,19,18,5,5,0,0,0,0,0,0
6,Tân Hiệp,58,78,5,5,12,11,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0,0,0,6,5,0,0,0,0,0,0,0,0,0,0,5,5,2,2,0,0,0,0,0,0,1,1,9,9,2,2,0,0,0,0,1,1,0,0,14,12,5,3,0,0,0,0,0,0,2,2,16,12,8,6,0,0,0,0,0,0
7,Giồng Riềng,60,69,0,0,2,2,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,5,4,1,1,0,0,0,0,0,0,0,0,4,4,4,4,0,0,0,0,0,0,0,0,9,8,6,6,0,0,0,0,0,0
8,Gò Quao,61,71,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,11,11,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4,4,1,1,0,0,0,0,0,0
9,An Biên,116,66,0,0,1,1,0,0,0,0,0,0,0,0,0,0,2,2,2,2,0,0,0,0,0,0,0,0,3,3,2,2,0,0,0,0,0,0,0,0,12,12,5,5,0,0,0,0,0,0,0,0,15,15,9,9,0,0,0,0,0,0,0,0,72,72,27,27,0,0,0,0,1,1,0,0,72,71,24,22,0,0,0,0,0,0,0,0,24,24,4,4,0,0,0,0,0,0,0,0,8,8,3,3,0,0,0,0,0,0,0,0,11,11,2,2,0,0,0,0,0,0
10,An Minh,117,67,0,0,12,11,2,2,0,0,0,0,0,0,0,0,7,6,0,0,0,0,0,0,0,0,0,0,7,7,0,0,0,0,0,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,25,25,1,1,0,0,0,0,0,0,0,0,80,78,6,6,0,0,0,0,0,0,0,0,102,102,1,1,0,0,0,0,0,0,0,0,24,18,3,3,0,0,0,0,0,0,1,1,10,10,1,1,0,0,0,0,0,0,0,0,20,18,5,5,0,0,0,0,0,0
11,Vĩnh Thuận,118,80,0,0,9,9,1,1,0,0,0,0,0,0,0,0,4,4,1,0,0,0,0,0,0,0,0,0,26,25,2,1,0,0,0,0,0,0,0,0,30,24,2,2,0,0,0,0,0,0,0,0,12,9,0,0,0,0,0,0,0,0,0,0,14,10,4,3,0,0,0,0,0,0,0,0,38,34,6,4,0,0,0,0,0,0,0,0,23,22,3,3,0,0,0,0,0,0,0,0,15,14,10,7,0,0,0,0,0,0,7,7,30,29,13,11,0,0,0,0,0,0
12,Phú Quốc,62,76,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0,0,0,6,4,5,5,0,0,0,0,0,0,0,0,25,19,2,2,0,0,0,0,1,1,0,0,32,29,1,1,0,0,0,0,0,0,0,0,8,5,7,6,0,0,0,0,0,0,0,0,34,26,7,6,0,0,0,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,7,5,3,3,0,0,0,0,0,0
13,Kiên Hải,63,74,0,0,18,18,0,0,0,0,0,0,0,0,0,0,6,6,3,3,0,0,0,0,0,0,0,0,3,2,2,2,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0,23,23,1,1,0,0,0,0,0,0,0,0,21,21,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
14,Tổng cộng,,,12,12,115,106,15,14,0,0,0,0,0,0,3,3,39,37,13,12,0,0,0,0,0,0,1,1,74,70,15,14,0,0,0,0,0,0,6,6,119,109,17,17,0,0,0,0,0,0,7,7,139,127,19,19,0,0,0,0,1,1,18,18,327,314,57,55,0,0,0,0,1,1,47,47,390,371,67,62,0,0,0,0,0,0,20,20,235,212,41,40,0,0,0,0,1,1,10,10,163,152,48,42,0,0,0,0,0,0,23,23,209,192,78,71,0,0,0,0,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Năm 2009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STT,District,,,January,,,,,,,,,,,,February,,,,,,,,,,,,March,,,,,,,,,,,,April,,,,,,,,,,,,May,,,,,,,,,,,,June,,,,,,,,,,,,July,,,,,,,,,,,,August,,,,,,,,,,,,September,,,,,,,,,,,,October,,,,,,,,,,,
,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,,cases,,,,,,deaths,,,,,
,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,,DF,,DHF,,,
,,,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,,Total,<15 yr-old,DHF,,Severe DHF,
,,,,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old,,,Total,<15 yr-old,Total,<15 yr-old
1,Rạch Giá,55,77,5,5,42,42,21,21,0,0,0,0,0,0,8,8,39,39,12,12,0,0,0,0,0,0,7,7,52,52,11,11,0,0,0,0,0,0,14,14,70,70,29,29,0,0,0,0,0,0,19,19,75,75,43,43,0,0,0,0,0,0,11,10,81,74,24,23,0,0,0,0,0,0,22,22,106,104,37,36,0,0,0,0,0,0,14,14,79,79,24,24,0,0,0,0,0,0,9,9,95,95,24,24,0,0,0,0,0,0,7,7,70,70,19,19,0,0,0,0,0,0
2,Hà Tiên,56,72,0,0,10,8,1,0,0,0,0,0,0,0,0,0,11,9,0,0,0,0,0,0,0,0,0,0,16,16,0,0,0,0,0,0,0,0,0,0,46,36,8,7,0,0,0,0,0,0,0,0,45,40,5,5,0,0,0,0,0,0,3,3,50,37,6,5,0,0,0,0,0,0,4,3,30,25,10,10,0,0,0,0,0,0,0,0,7,4,5,4,0,0,0,0,0,0,1,1,16,12,2,2,0,0,0,0,0,0,0,0,4,3,2,2,0,0,0,0,0,0
3,Kiên Lương,120,75,0,0,0,0,0,0,0,0,0,0,0,0,1,1,9,9,1,1,0,0,0,0,0,0,0,0,39,33,5,4,0,0,0,0,0,0,0,0,54,35,7,7,0,0,0,0,0,0,0,0,44,31,12,9,0,0,0,0,0,0,0,0,83,76,13,12,0,0,0,0,0,0,0,0,87,79,12,10,0,0,0,0,0,0,0,0,47,39,7,6,0,0,0,0,0,0,0,0,52,44,10,9,0,0,0,0,0,0,0,0,41,37,7,7,0,0,0,0,0,0
4,Hòn Đất,57,73,0,0,14,14,5,4,0,0,0,0,0,0,0,0,9,8,3,3,0,0,0,0,0,0,1,1,7,7,6,6,0,0,0,0,0,0,1,1,15,15,17,17,0,0,0,0,0,0,4,4,42,41,22,22,0,0,0,0,1,1,8,8,45,43,29,25,0,0,0,0,0,0,2,2,33,31,32,28,0,0,0,0,0,0,0,0,17,17,10,10,0,0,0,0,0,0,1,0,8,8,1,1,0,0,0,0,0,0,4,4,6,6,4,4,0,0,0,0,0,0
5,Châu Thành,59,68,2,2,6,6,4,4,0,0,0,0,0,0,1,1,2,2,2,2,0,0,0,0,0,0,2,2,3,2,7,7,0,0,0,0,0,0,3,3,18,18,14,14,0,0,0,0,0,0,7,7,38,38,44,44,0,0,0,0,1,1,3,3,57,57,35,32,0,0,0,0,0,0,27,26,76,70,59,58,0,0,0,0,0,0,14,13,41,40,15,15,0,0,0,0,0,0,6,6,34,33,13,13,0,0,0,0,0,0,3,3,21,21,9,9,0,0,0,0,0,0
6,Tân Hiệp,58,78,0,0,11,7,4,3,0,0,0,0,0,0,0,0,6,5,2,2,0,0,0,0,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,11,8,2,2,0,0,0,0,0,0,7,5,45,38,12,9,0,0,0,0,0,0,0,0,46,33,10,8,0,0,0,0,0,0,0,0,35,27,7,5,0,0,0,0,0,0,3,3,71,58,9,8,0,0,0,0,0,0,0,0,43,35,23,19,0,0,0,0,0,0,0,0,35,30,12,12,0,0,0,0,0,0
7,Giồng Riềng,60,69,0,0,10,9,9,8,0,0,0,0,0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,2,2,13,11,9,9,0,0,0,0,0,0,0,0,19,17,8,7,0,0,0,0,0,0,0,0,17,12,11,11,0,0,0,0,1,1,0,0,28,17,11,11,0,0,0,0,0,0,0,0,60,42,25,24,0,0,0,0,0,0,0,0,22,16,4,4,0,0,0,0,0,0
8,Gò Quao,61,71,0,0,1,0,1,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,2,2,2,1,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,3,3,13,13,3,2,0,0,0,0,0,0,4,4,28,25,9,9,0,0,0,0,0,0,17,17,37,36,8,8,0,0,0,0,0,0,2,1,11,10,3,3,0,0,0,0,0,0,1,0,4,3,0,0,0,0,0,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
9,An Biên,116,66,0,0,3,3,2,2,0,0,0,0,0,0,1,1,4,3,1,1,0,0,0,0,0,0,0,0,7,7,4,4,0,0,0,0,0,0,0,0,17,17,7,7,0,0,0,0,0,0,4,4,50,50,15,14,0,0,0,0,1,1,2,2,73,69,35,27,0,0,0,0,0,0,5,4,49,45,21,18,0,0,0,0,0,0,1,1,29,29,11,10,0,0,0,0,0,0,0,0,15,14,6,6,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0
10,An Minh,117,67,0,0,5,5,2,2,0,0,0,0,0,0,1,1,3,2,4,4,0,0,0,0,1,1,0,0,3,3,1,1,0,0,0,0,0,0,0,0,5,5,3,3,0,0,0,0,0,0,0,0,3,3,1,1,0,0,0,0,0,0,1,1,5,4,1,1,0,0,0,0,0,0,2,2,8,8,1,1,0,0,0,0,0,0,0,0,6,6,2,2,0,0,0,0,0,0,1,1,8,8,1,1,0,0,0,0,0,0,0,0,11,10,1,1,0,0,0,0,1,1
11,Vĩnh Thuận,118,80,0,0,4,4,2,1,0,0,0,0,0,0,2,2,13,12,5,5,0,0,0,0,0,0,1,0,19,16,1,1,0,0,0,0,1,1,0,0,25,21,6,5,0,0,0,0,0,0,1,1,41,36,17,15,0,0,0,0,0,0,0,0,57,44,20,15,0,0,0,0,0,0,0,0,46,31,13,12,0,0,0,0,0,0,0,0,41,35,9,7,0,0,0,0,0,0,0,0,30,28,7,6,0,0,0,0,0,0,0,0,31,29,5,4,0,0,0,0,0,0
12,Phú Quốc,62,76,0,0,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,17,5,5,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,23,13,5,3,0,0,0,0,0,0,0,0,39,32,4,4,0,0,0,0,0,0,0,0,19,10,5,5,0,0,0,0,0,0,0,0,20,14,1,1,0,0,0,0,0,0,0,0,34,27,10,8,0,0,0,0,0,0,0,0,24,18,2,2,0,0,0,0,0,0
